INFO:root:Using Tensorboard, logs will be saved in ./fire/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2343 annotation files.
INFO:root:Load 2343 xml files and 2986 boxes
INFO:root:Done (t=708.87s)
INFO:root:loading annotations into memory...
INFO:root:Found 618 annotation files.
INFO:root:Load 618 xml files and 774 boxes
INFO:root:Done (t=185.40s)
INFO:root:Training batch size: 80
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:train|Epoch4/160|Iter108(20/29)| lr:1.40e-01| loss_qfl:0.2575| loss_bbox:0.4684| loss_dfl:0.2524| 
INFO:root:train|Epoch5/160|Iter117(0/29)| lr:1.40e-01| loss_qfl:0.2479| loss_bbox:0.4361| loss_dfl:0.2461| 
INFO:root:train|Epoch5/160|Iter127(10/29)| lr:1.40e-01| loss_qfl:0.2479| loss_bbox:0.4669| loss_dfl:0.2519| 
INFO:root:train|Epoch5/160|Iter137(20/29)| lr:1.40e-01| loss_qfl:0.2530| loss_bbox:0.4382| loss_dfl:0.2473| 
INFO:root:train|Epoch6/160|Iter146(0/29)| lr:1.40e-01| loss_qfl:0.2785| loss_bbox:0.4620| loss_dfl:0.2495| 
INFO:root:train|Epoch6/160|Iter156(10/29)| lr:1.40e-01| loss_qfl:0.2631| loss_bbox:0.4380| loss_dfl:0.2466| 
INFO:root:train|Epoch6/160|Iter166(20/29)| lr:1.40e-01| loss_qfl:0.2440| loss_bbox:0.4607| loss_dfl:0.2494| 
INFO:root:train|Epoch7/160|Iter175(0/29)| lr:1.40e-01| loss_qfl:0.2408| loss_bbox:0.4159| loss_dfl:0.2416| 
INFO:root:train|Epoch7/160|Iter185(10/29)| lr:1.40e-01| loss_qfl:0.2280| loss_bbox:0.4423| loss_dfl:0.2426| 
INFO:root:train|Epoch7/160|Iter195(20/29)| lr:1.40e-01| loss_qfl:0.2302| loss_bbox:0.4292| loss_dfl:0.2419| 
INFO:root:train|Epoch8/160|Iter204(0/29)| lr:1.40e-01| loss_qfl:0.2239| loss_bbox:0.3981| loss_dfl:0.2325| 
INFO:root:train|Epoch8/160|Iter214(10/29)| lr:1.40e-01| loss_qfl:0.2372| loss_bbox:0.4244| loss_dfl:0.2394| 
INFO:root:train|Epoch8/160|Iter224(20/29)| lr:1.40e-01| loss_qfl:0.2340| loss_bbox:0.4309| loss_dfl:0.2392| 
INFO:root:train|Epoch9/160|Iter233(0/29)| lr:1.40e-01| loss_qfl:0.2369| loss_bbox:0.4099| loss_dfl:0.2375| 
INFO:root:train|Epoch9/160|Iter243(10/29)| lr:1.40e-01| loss_qfl:0.2498| loss_bbox:0.4179| loss_dfl:0.2361| 
INFO:root:train|Epoch9/160|Iter253(20/29)| lr:1.40e-01| loss_qfl:0.2356| loss_bbox:0.4109| loss_dfl:0.2376| 
INFO:root:train|Epoch10/160|Iter262(0/29)| lr:1.40e-01| loss_qfl:0.2269| loss_bbox:0.4242| loss_dfl:0.2369| 
INFO:root:train|Epoch10/160|Iter272(10/29)| lr:1.40e-01| loss_qfl:0.2368| loss_bbox:0.4275| loss_dfl:0.2379| 
INFO:root:train|Epoch10/160|Iter282(20/29)| lr:1.40e-01| loss_qfl:0.2296| loss_bbox:0.4188| loss_dfl:0.2362| 
INFO:root:val|Epoch10/160|Iter291(0/618)| lr:1.40e-01| loss_qfl:0.3980| loss_bbox:0.5023| loss_dfl:0.2416| 
INFO:root:val|Epoch10/160|Iter291(10/618)| lr:1.40e-01| loss_qfl:0.3575| loss_bbox:0.7099| loss_dfl:0.3677| 
INFO:root:val|Epoch10/160|Iter291(20/618)| lr:1.40e-01| loss_qfl:0.2461| loss_bbox:0.6866| loss_dfl:0.3563| 
INFO:root:val|Epoch10/160|Iter291(30/618)| lr:1.40e-01| loss_qfl:0.1911| loss_bbox:0.7111| loss_dfl:0.3459| 
INFO:root:val|Epoch10/160|Iter291(40/618)| lr:1.40e-01| loss_qfl:0.3564| loss_bbox:0.6618| loss_dfl:0.3012| 
INFO:root:val|Epoch10/160|Iter291(50/618)| lr:1.40e-01| loss_qfl:0.3171| loss_bbox:0.7883| loss_dfl:0.3864| 
INFO:root:val|Epoch10/160|Iter291(60/618)| lr:1.40e-01| loss_qfl:0.2615| loss_bbox:0.7122| loss_dfl:0.3768| 
INFO:root:val|Epoch10/160|Iter291(70/618)| lr:1.40e-01| loss_qfl:0.4594| loss_bbox:0.9296| loss_dfl:0.4822| 
INFO:root:val|Epoch10/160|Iter291(80/618)| lr:1.40e-01| loss_qfl:0.1570| loss_bbox:0.5308| loss_dfl:0.2920| 
INFO:root:val|Epoch10/160|Iter291(90/618)| lr:1.40e-01| loss_qfl:0.2283| loss_bbox:0.7074| loss_dfl:0.3725| 
INFO:root:val|Epoch10/160|Iter291(100/618)| lr:1.40e-01| loss_qfl:0.3807| loss_bbox:0.6600| loss_dfl:0.3315| 
INFO:root:val|Epoch10/160|Iter291(110/618)| lr:1.40e-01| loss_qfl:0.3002| loss_bbox:0.8012| loss_dfl:0.3596| 
INFO:root:val|Epoch10/160|Iter291(120/618)| lr:1.40e-01| loss_qfl:0.2371| loss_bbox:0.5749| loss_dfl:0.3093| 
INFO:root:val|Epoch10/160|Iter291(130/618)| lr:1.40e-01| loss_qfl:0.2644| loss_bbox:0.7475| loss_dfl:0.3207| 
INFO:root:val|Epoch10/160|Iter291(140/618)| lr:1.40e-01| loss_qfl:0.3872| loss_bbox:0.6419| loss_dfl:0.3027| 
INFO:root:val|Epoch10/160|Iter291(150/618)| lr:1.40e-01| loss_qfl:0.2992| loss_bbox:0.7244| loss_dfl:0.3762| 
INFO:root:val|Epoch10/160|Iter291(160/618)| lr:1.40e-01| loss_qfl:0.4334| loss_bbox:0.6156| loss_dfl:0.3433| 
INFO:root:val|Epoch10/160|Iter291(170/618)| lr:1.40e-01| loss_qfl:0.1957| loss_bbox:0.6590| loss_dfl:0.3797| 
INFO:root:val|Epoch10/160|Iter291(180/618)| lr:1.40e-01| loss_qfl:0.4616| loss_bbox:0.6966| loss_dfl:0.3509| 
INFO:root:val|Epoch10/160|Iter291(190/618)| lr:1.40e-01| loss_qfl:0.2778| loss_bbox:0.6809| loss_dfl:0.3418| 
INFO:root:val|Epoch10/160|Iter291(200/618)| lr:1.40e-01| loss_qfl:0.2200| loss_bbox:0.6746| loss_dfl:0.3183| 
INFO:root:val|Epoch10/160|Iter291(210/618)| lr:1.40e-01| loss_qfl:0.3509| loss_bbox:0.7077| loss_dfl:0.3944| 
INFO:root:val|Epoch10/160|Iter291(220/618)| lr:1.40e-01| loss_qfl:0.3420| loss_bbox:0.7188| loss_dfl:0.4007| 
INFO:root:val|Epoch10/160|Iter291(230/618)| lr:1.40e-01| loss_qfl:0.2218| loss_bbox:0.6519| loss_dfl:0.3097| 
INFO:root:val|Epoch10/160|Iter291(240/618)| lr:1.40e-01| loss_qfl:0.2653| loss_bbox:0.7907| loss_dfl:0.3230| 
INFO:root:val|Epoch10/160|Iter291(250/618)| lr:1.40e-01| loss_qfl:0.2143| loss_bbox:0.7861| loss_dfl:0.2272| 
INFO:root:val|Epoch10/160|Iter291(260/618)| lr:1.40e-01| loss_qfl:0.5175| loss_bbox:0.9557| loss_dfl:0.2910| 
INFO:root:val|Epoch10/160|Iter291(270/618)| lr:1.40e-01| loss_qfl:0.3920| loss_bbox:0.7953| loss_dfl:0.3013| 
INFO:root:val|Epoch10/160|Iter291(280/618)| lr:1.40e-01| loss_qfl:0.2184| loss_bbox:0.7302| loss_dfl:0.2922| 
INFO:root:val|Epoch10/160|Iter291(290/618)| lr:1.40e-01| loss_qfl:0.2868| loss_bbox:0.5671| loss_dfl:0.2750| 
INFO:root:val|Epoch10/160|Iter291(300/618)| lr:1.40e-01| loss_qfl:0.2165| loss_bbox:0.4769| loss_dfl:0.2616| 
INFO:root:val|Epoch10/160|Iter291(310/618)| lr:1.40e-01| loss_qfl:0.3066| loss_bbox:0.6377| loss_dfl:0.2723| 
INFO:root:val|Epoch10/160|Iter291(320/618)| lr:1.40e-01| loss_qfl:0.2957| loss_bbox:0.6643| loss_dfl:0.2844| 
INFO:root:val|Epoch10/160|Iter291(330/618)| lr:1.40e-01| loss_qfl:0.1681| loss_bbox:0.4612| loss_dfl:0.2426| 
INFO:root:val|Epoch10/160|Iter291(340/618)| lr:1.40e-01| loss_qfl:0.3923| loss_bbox:0.6578| loss_dfl:0.3156| 
INFO:root:val|Epoch10/160|Iter291(350/618)| lr:1.40e-01| loss_qfl:0.4050| loss_bbox:0.7263| loss_dfl:0.3563| 
INFO:root:val|Epoch10/160|Iter291(360/618)| lr:1.40e-01| loss_qfl:0.3553| loss_bbox:0.9285| loss_dfl:0.4524| 
INFO:root:val|Epoch10/160|Iter291(370/618)| lr:1.40e-01| loss_qfl:0.2722| loss_bbox:0.6370| loss_dfl:0.3262| 
INFO:root:val|Epoch10/160|Iter291(380/618)| lr:1.40e-01| loss_qfl:0.2470| loss_bbox:0.7092| loss_dfl:0.3927| 
INFO:root:val|Epoch10/160|Iter291(390/618)| lr:1.40e-01| loss_qfl:0.1664| loss_bbox:0.6475| loss_dfl:0.3331| 
INFO:root:val|Epoch10/160|Iter291(400/618)| lr:1.40e-01| loss_qfl:0.2540| loss_bbox:0.6239| loss_dfl:0.3615| 
INFO:root:val|Epoch10/160|Iter291(410/618)| lr:1.40e-01| loss_qfl:0.3620| loss_bbox:0.6845| loss_dfl:0.3751| 
INFO:root:val|Epoch10/160|Iter291(420/618)| lr:1.40e-01| loss_qfl:0.2547| loss_bbox:0.6171| loss_dfl:0.3298| 
INFO:root:val|Epoch10/160|Iter291(430/618)| lr:1.40e-01| loss_qfl:0.2366| loss_bbox:0.5268| loss_dfl:0.2565| 
INFO:root:val|Epoch10/160|Iter291(440/618)| lr:1.40e-01| loss_qfl:0.2499| loss_bbox:0.6937| loss_dfl:0.2707| 
INFO:root:val|Epoch10/160|Iter291(450/618)| lr:1.40e-01| loss_qfl:0.3276| loss_bbox:0.4862| loss_dfl:0.2260| 
INFO:root:val|Epoch10/160|Iter291(460/618)| lr:1.40e-01| loss_qfl:0.2304| loss_bbox:0.6979| loss_dfl:0.3094| 
INFO:root:val|Epoch10/160|Iter291(470/618)| lr:1.40e-01| loss_qfl:0.2231| loss_bbox:0.7498| loss_dfl:0.2502| 
INFO:root:val|Epoch10/160|Iter291(480/618)| lr:1.40e-01| loss_qfl:0.2980| loss_bbox:0.5263| loss_dfl:0.2371| 
INFO:root:val|Epoch10/160|Iter291(490/618)| lr:1.40e-01| loss_qfl:0.3195| loss_bbox:0.5598| loss_dfl:0.2242| 
INFO:root:val|Epoch10/160|Iter291(500/618)| lr:1.40e-01| loss_qfl:0.2664| loss_bbox:0.5240| loss_dfl:0.2326| 
INFO:root:val|Epoch10/160|Iter291(510/618)| lr:1.40e-01| loss_qfl:0.2865| loss_bbox:0.6355| loss_dfl:0.2890| 
INFO:root:val|Epoch10/160|Iter291(520/618)| lr:1.40e-01| loss_qfl:0.2729| loss_bbox:0.7451| loss_dfl:0.2772| 
INFO:root:val|Epoch10/160|Iter291(530/618)| lr:1.40e-01| loss_qfl:0.3492| loss_bbox:0.5033| loss_dfl:0.2666| 
INFO:root:val|Epoch10/160|Iter291(540/618)| lr:1.40e-01| loss_qfl:0.2036| loss_bbox:0.6661| loss_dfl:0.2662| 
INFO:root:val|Epoch10/160|Iter291(550/618)| lr:1.40e-01| loss_qfl:0.3236| loss_bbox:0.3615| loss_dfl:0.2054| 
INFO:root:val|Epoch10/160|Iter291(560/618)| lr:1.40e-01| loss_qfl:0.2548| loss_bbox:0.6236| loss_dfl:0.2671| 
INFO:root:val|Epoch10/160|Iter291(570/618)| lr:1.40e-01| loss_qfl:0.3725| loss_bbox:0.6494| loss_dfl:0.2951| 
INFO:root:val|Epoch10/160|Iter291(580/618)| lr:1.40e-01| loss_qfl:0.4210| loss_bbox:0.5544| loss_dfl:0.2462| 
INFO:root:val|Epoch10/160|Iter291(590/618)| lr:1.40e-01| loss_qfl:0.3188| loss_bbox:0.6781| loss_dfl:0.2602| 
INFO:root:val|Epoch10/160|Iter291(600/618)| lr:1.40e-01| loss_qfl:0.3226| loss_bbox:0.8532| loss_dfl:0.3518| 
INFO:root:val|Epoch10/160|Iter291(610/618)| lr:1.40e-01| loss_qfl:0.3262| loss_bbox:0.6373| loss_dfl:0.2770| 
INFO:root:train|Epoch11/160|Iter291(0/29)| lr:1.40e-01| loss_qfl:0.2113| loss_bbox:0.4033| loss_dfl:0.2263| 
INFO:root:train|Epoch11/160|Iter301(10/29)| lr:1.40e-01| loss_qfl:0.2270| loss_bbox:0.4114| loss_dfl:0.2355| 
INFO:root:train|Epoch11/160|Iter311(20/29)| lr:1.40e-01| loss_qfl:0.2403| loss_bbox:0.4191| loss_dfl:0.2363| 
INFO:root:train|Epoch12/160|Iter320(0/29)| lr:1.40e-01| loss_qfl:0.2672| loss_bbox:0.4232| loss_dfl:0.2344| 
INFO:root:train|Epoch12/160|Iter330(10/29)| lr:1.40e-01| loss_qfl:0.2248| loss_bbox:0.4074| loss_dfl:0.2343| 
INFO:root:train|Epoch12/160|Iter340(20/29)| lr:1.40e-01| loss_qfl:0.2226| loss_bbox:0.4095| loss_dfl:0.2320| 
INFO:root:train|Epoch13/160|Iter349(0/29)| lr:1.40e-01| loss_qfl:0.2173| loss_bbox:0.4061| loss_dfl:0.2353| 
INFO:root:train|Epoch13/160|Iter359(10/29)| lr:1.40e-01| loss_qfl:0.2138| loss_bbox:0.3930| loss_dfl:0.2259| 
INFO:root:train|Epoch13/160|Iter369(20/29)| lr:1.40e-01| loss_qfl:0.2265| loss_bbox:0.3924| loss_dfl:0.2253| 
INFO:root:train|Epoch14/160|Iter378(0/29)| lr:1.40e-01| loss_qfl:0.2092| loss_bbox:0.4199| loss_dfl:0.2348| 
INFO:root:train|Epoch14/160|Iter388(10/29)| lr:1.40e-01| loss_qfl:0.2168| loss_bbox:0.3941| loss_dfl:0.2279| 
INFO:root:train|Epoch14/160|Iter398(20/29)| lr:1.40e-01| loss_qfl:0.2085| loss_bbox:0.3917| loss_dfl:0.2264| 
INFO:root:train|Epoch15/160|Iter407(0/29)| lr:1.40e-01| loss_qfl:0.2425| loss_bbox:0.3597| loss_dfl:0.2239| 
INFO:root:train|Epoch15/160|Iter417(10/29)| lr:1.40e-01| loss_qfl:0.2179| loss_bbox:0.3891| loss_dfl:0.2223| 
INFO:root:train|Epoch15/160|Iter427(20/29)| lr:1.40e-01| loss_qfl:0.2099| loss_bbox:0.3821| loss_dfl:0.2222| 
INFO:root:train|Epoch16/160|Iter436(0/29)| lr:1.40e-01| loss_qfl:0.2265| loss_bbox:0.4190| loss_dfl:0.2341| 
INFO:root:train|Epoch16/160|Iter446(10/29)| lr:1.40e-01| loss_qfl:0.2080| loss_bbox:0.3744| loss_dfl:0.2193| 
INFO:root:train|Epoch16/160|Iter456(20/29)| lr:1.40e-01| loss_qfl:0.2047| loss_bbox:0.3746| loss_dfl:0.2192| 
INFO:root:train|Epoch17/160|Iter465(0/29)| lr:1.40e-01| loss_qfl:0.1847| loss_bbox:0.3547| loss_dfl:0.2169| 
INFO:root:train|Epoch17/160|Iter475(10/29)| lr:1.40e-01| loss_qfl:0.2143| loss_bbox:0.3650| loss_dfl:0.2184| 
INFO:root:train|Epoch17/160|Iter485(20/29)| lr:1.40e-01| loss_qfl:0.2160| loss_bbox:0.3792| loss_dfl:0.2219| 
INFO:root:train|Epoch18/160|Iter494(0/29)| lr:1.40e-01| loss_qfl:0.2047| loss_bbox:0.4024| loss_dfl:0.2217| 
INFO:root:train|Epoch18/160|Iter504(10/29)| lr:1.40e-01| loss_qfl:0.2183| loss_bbox:0.3807| loss_dfl:0.2207| 
INFO:root:train|Epoch18/160|Iter514(20/29)| lr:1.40e-01| loss_qfl:0.2295| loss_bbox:0.3688| loss_dfl:0.2208| 
INFO:root:train|Epoch19/160|Iter523(0/29)| lr:1.40e-01| loss_qfl:0.2494| loss_bbox:0.3783| loss_dfl:0.2213| 
INFO:root:train|Epoch19/160|Iter533(10/29)| lr:1.40e-01| loss_qfl:0.2212| loss_bbox:0.3681| loss_dfl:0.2174| 
INFO:root:train|Epoch19/160|Iter543(20/29)| lr:1.40e-01| loss_qfl:0.2177| loss_bbox:0.3728| loss_dfl:0.2195| 
INFO:root:train|Epoch20/160|Iter552(0/29)| lr:1.40e-01| loss_qfl:0.1890| loss_bbox:0.3573| loss_dfl:0.2190| 
